Sensor ID,Motherboard ID,Motherboard Name,metric,value,timestamp,unit
9,35,Joyce,Sound Level,54.92,2021-03-11T00:46:49.000Z,dBa
29,38,Jim,Sound Level,59.06,2021-03-11T00:47:05.000Z,dBa
9,35,Joyce,Sound Level,58.54,2021-03-11T00:52:00.000Z,dBa
29,38,Jim,Sound Level,57.6,2021-03-11T00:53:25.000Z,dBa
9,35,Joyce,Sound Level,54.25,2021-03-11T00:57:12.000Z,dBa
29,38,Jim,Sound Level,59.07,2021-03-11T00:58:25.000Z,dBa
9,35,Joyce,Sound Level,57.35,2021-03-11T01:02:23.000Z,dBa
29,38,Jim,Sound Level,57.4,2021-03-11T01:03:25.000Z,dBa
29,38,Jim,Sound Level,54.38,2021-03-11T01:08:25.000Z,dBa
9,35,Joyce,Sound Level,56.49,2021-03-11T01:12:46.000Z,dBa
29,38,Jim,Sound Level,55.95,2021-03-11T01:13:25.000Z,dBa
9,35,Joyce,Sound Level,59.19,2021-03-11T01:17:57.000Z,dBa
29,38,Jim,Sound Level,60.77,2021-03-11T01:18:25.000Z,dBa
9,35,Joyce,Sound Level,56.43,2021-03-11T01:23:09.000Z,dBa
29,38,Jim,Sound Level,58.09,2021-03-11T01:24:45.000Z,dBa
9,35,Joyce,Sound Level,58.67,2021-03-11T01:28:20.000Z,dBa
29,38,Jim,Sound Level,56.42,2021-03-11T01:29:45.000Z,dBa
9,35,Joyce,Sound Level,61.63,2021-03-11T01:33:31.000Z,dBa
29,38,Jim,Sound Level,58.1,2021-03-11T01:34:45.000Z,dBa
9,35,Joyce,Sound Level,54.65,2021-03-11T01:38:43.000Z,dBa
29,38,Jim,Sound Level,59.78,2021-03-11T01:39:45.000Z,dBa
9,35,Joyce,Sound Level,57.49,2021-03-11T01:43:54.000Z,dBa
29,38,Jim,Sound Level,57.46,2021-03-11T01:44:45.000Z,dBa
9,35,Joyce,Sound Level,58.53,2021-03-11T01:49:05.000Z,dBa
29,38,Jim,Sound Level,58.12,2021-03-11T01:49:45.000Z,dBa
9,35,Joyce,Sound Level,54.59,2021-03-11T01:54:17.000Z,dBa
29,38,Jim,Sound Level,60.35,2021-03-11T01:56:05.000Z,dBa
